n,offset,alignment_bytes,mode,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
4096,0,0,arithmetic,1,4096,915287,918639,223.458740234375,224.277099609375
4096,0,0,arithmetic,2,4096,916804,920365,223.8291015625,224.698486328125
4096,0,0,arithmetic,3,4096,928251,931690,226.623779296875,227.46337890625
4096,0,0,arithmetic,4,4096,938395,942010,229.100341796875,229.98291015625
4096,0,0,arithmetic,5,4096,923531,926989,225.471435546875,226.315673828125
4096,0,0,arithmetic,6,4096,917424,920843,223.98046875,224.815185546875
4096,0,0,arithmetic,7,4096,918513,922546,224.246337890625,225.23095703125
4096,0,0,reset,1,4096,3134995,3138699,765.379638671875,766.283935546875
4096,0,0,reset,2,4096,3083282,3087292,752.75439453125,753.7333984375
4096,0,0,reset,3,4096,3096338,3099958,755.94189453125,756.82568359375
4096,0,0,reset,4,4096,3085316,3089603,753.2509765625,754.297607421875
4096,0,0,reset,5,4096,3041406,3051284,742.53076171875,744.9423828125
4096,0,0,reset,6,4096,3050728,3054200,744.806640625,745.654296875
4096,0,0,reset,7,4096,3016792,3021165,736.521484375,737.589111328125
4096,1,8,arithmetic,1,4096,1615943,1619053,394.517333984375,395.276611328125
4096,1,8,arithmetic,2,4096,1628206,1631317,397.51123046875,398.270751953125
4096,1,8,arithmetic,3,4096,1621125,1624276,395.782470703125,396.5517578125
4096,1,8,arithmetic,4,4096,1599957,1603032,390.614501953125,391.365234375
4096,1,8,arithmetic,5,4096,1614760,1617924,394.228515625,395.0009765625
4096,1,8,arithmetic,6,4096,1634587,1638104,399.069091796875,399.927734375
4096,1,8,arithmetic,7,4096,1668886,1672036,407.44287109375,408.2119140625
4096,1,8,reset,1,4096,4110455,4114503,1003.529052734375,1004.517333984375
4096,1,8,reset,2,4096,4131253,4135558,1008.606689453125,1009.65771484375
4096,1,8,reset,3,4096,4128104,4131602,1007.837890625,1008.69189453125
4096,1,8,reset,4,4096,4151008,4154486,1013.4296875,1014.27880859375
4096,1,8,reset,5,4096,4156853,4160771,1014.856689453125,1015.813232421875
4096,1,8,reset,6,4096,4155119,4159572,1014.433349609375,1015.5205078125
4096,1,8,reset,7,4096,4147853,4151570,1012.659423828125,1013.56689453125
4096,2,16,arithmetic,1,4096,1673398,1676687,408.54443359375,409.347412109375
4096,2,16,arithmetic,2,4096,1680605,1683919,410.303955078125,411.113037109375
4096,2,16,arithmetic,3,4096,1683934,1688119,411.11669921875,412.138427734375
4096,2,16,arithmetic,4,4096,1671850,1675112,408.16650390625,408.962890625
4096,2,16,arithmetic,5,4096,1673967,1677154,408.683349609375,409.46142578125
4096,2,16,arithmetic,6,4096,1664904,1668145,406.470703125,407.261962890625
4096,2,16,arithmetic,7,4096,1678122,1681342,409.69775390625,410.48388671875
4096,2,16,reset,1,4096,4106032,4109516,1002.44921875,1003.2998046875
4096,2,16,reset,2,4096,4069035,4072706,993.416748046875,994.31298828125
4096,2,16,reset,3,4096,4124441,4128099,1006.943603515625,1007.836669921875
4096,2,16,reset,4,4096,4136834,4141653,1009.96923828125,1011.145751953125
4096,2,16,reset,5,4096,4176504,4181919,1019.654296875,1020.976318359375
4096,2,16,reset,6,4096,4132523,4136063,1008.916748046875,1009.781005859375
4096,2,16,reset,7,4096,4145947,4151636,1012.194091796875,1013.5830078125
4096,3,24,arithmetic,1,4096,1673192,1676406,408.494140625,409.27880859375
4096,3,24,arithmetic,2,4096,1686050,1689325,411.63330078125,412.432861328125
4096,3,24,arithmetic,3,4096,1807321,1810636,441.240478515625,442.0498046875
4096,3,24,arithmetic,4,4096,1683632,1686998,411.04296875,411.86474609375
4096,3,24,arithmetic,5,4096,1686443,1689755,411.729248046875,412.537841796875
4096,3,24,arithmetic,6,4096,1674375,1677951,408.782958984375,409.656005859375
4096,3,24,arithmetic,7,4096,1683136,1686452,410.921875,411.7314453125
4096,3,24,reset,1,4096,4156283,4176476,1014.717529296875,1019.6474609375
4096,3,24,reset,2,4096,4112002,4116157,1003.90673828125,1004.921142578125
4096,3,24,reset,3,4096,4134911,4138407,1009.499755859375,1010.353271484375
4096,3,24,reset,4,4096,4315989,4319718,1053.708251953125,1054.61865234375
4096,3,24,reset,5,4096,4155775,4159487,1014.593505859375,1015.499755859375
4096,3,24,reset,6,4096,4126115,4130256,1007.352294921875,1008.36328125
4096,3,24,reset,7,4096,4129980,4133464,1008.2958984375,1009.146484375
65536,0,0,arithmetic,1,256,1890917,1894748,7386.39453125,7401.359375
65536,0,0,arithmetic,2,256,1864561,1868414,7283.44140625,7298.4921875
65536,0,0,arithmetic,3,256,1920560,1944660,7502.1875,7596.328125
