n,offset_bytes,mode,implementation,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
64,0,reset,aligned-unrolled,4,131072,1272406,1278696,9.7076873779296875,9.75567626953125
64,0,reset,openblas,4,131072,1721896,1728329,13.13702392578125,13.186103820800781
64,0,reset,onemkl,4,131072,2320342,2341618,17.702804565429688,17.865127563476562
64,0,reset,baseline,5,131072,1444914,1464923,11.023818969726562,11.176475524902344
64,0,reset,aligned,5,131072,1479817,1485733,11.290107727050781,11.335243225097656
64,0,reset,unrolled,5,131072,1121550,1127583,8.5567474365234375,8.6027755737304688
64,0,reset,aligned-unrolled,5,131072,1285560,1291757,9.80804443359375,9.8553237915039062
64,0,reset,openblas,5,131072,1714803,1720611,13.082908630371094,13.127220153808594
64,0,reset,onemkl,5,131072,2323597,2329847,17.727638244628906,17.775321960449219
64,0,reset,baseline,6,131072,1450569,1469526,11.066963195800781,11.211593627929688
64,0,reset,aligned,6,131072,1462216,1468421,11.15582275390625,11.203163146972656
64,0,reset,unrolled,6,131072,1104027,1109948,8.4230575561523438,8.468231201171875
64,0,reset,aligned-unrolled,6,131072,1287097,1293084,9.8197708129882812,9.865447998046875
64,0,reset,openblas,6,131072,1721322,1727548,13.132644653320312,13.180145263671875
64,0,reset,onemkl,6,131072,2331004,2337088,17.784149169921875,17.83056640625
64,0,reset,baseline,7,131072,1428562,1434359,10.899063110351562,10.943290710449219
64,0,reset,aligned,7,131072,1605578,1611505,12.249588012695312,12.294807434082031
64,0,reset,unrolled,7,131072,1090948,1096805,8.323272705078125,8.3679580688476562
64,0,reset,aligned-unrolled,7,131072,1258413,1264388,9.6009292602539062,9.646514892578125
64,0,reset,openblas,7,131072,1702095,1710984,12.985954284667969,13.05377197265625
64,0,reset,onemkl,7,131072,2299655,2313561,17.544975280761719,17.651069641113281
64,8,negate,baseline,1,131072,899289,905190,6.8610305786132812,6.9060516357421875
64,8,negate,aligned,1,131072,1136367,1142243,8.6697921752929688,8.7146224975585938
64,8,negate,unrolled,1,131072,896428,902376,6.839202880859375,6.88458251953125
64,8,negate,aligned-unrolled,1,131072,1074141,1079873,8.1950454711914062,8.2387771606445312
