n,offset_bytes,mode,implementation,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
64,0,powers-two,aligned,7,131072,607021,612449,4.6312026977539062,4.6726150512695312
64,0,powers-two,unrolled,7,131072,565100,570373,4.311370849609375,4.3516006469726562
64,0,powers-two,aligned-unrolled,7,131072,586087,591742,4.4714889526367188,4.5146331787109375
64,0,powers-two,openblas,7,131072,963358,968648,7.3498382568359375,7.39019775390625
64,0,powers-two,onemkl,7,131072,1553434,1558970,11.851760864257812,11.893997192382812
64,0,reset,baseline,1,131072,1306971,1312491,9.9713973999023438,10.013511657714844
64,0,reset,aligned,1,131072,1135560,1142933,8.66363525390625,8.7198867797851562
64,0,reset,unrolled,1,131072,1133886,1139440,8.6508636474609375,8.6932373046875
64,0,reset,aligned-unrolled,1,131072,1112324,1118050,8.486358642578125,8.5300445556640625
64,0,reset,openblas,1,131072,1542278,1548062,11.766647338867188,11.810775756835938
64,0,reset,onemkl,1,131072,2154771,2160451,16.439598083496094,16.482933044433594
64,0,reset,baseline,2,131072,1357971,1363581,10.360496520996094,10.403297424316406
64,0,reset,aligned,2,131072,1122939,1128453,8.5673446655273438,8.6094131469726562
64,0,reset,unrolled,2,131072,1130606,1136228,8.6258392333984375,8.668731689453125
64,0,reset,aligned-unrolled,2,131072,1106747,1112204,8.4438095092773438,8.485443115234375
64,0,reset,openblas,2,131072,1552487,1560881,11.844535827636719,11.908576965332031
64,0,reset,onemkl,2,131072,2172876,2179882,16.577728271484375,16.631179809570312
64,0,reset,baseline,3,131072,1348670,1354572,10.289535522460938,10.334564208984375
64,0,reset,aligned,3,131072,1161102,1166853,8.8585052490234375,8.9023818969726562
64,0,reset,unrolled,3,131072,1139118,1145078,8.6907806396484375,8.7362518310546875
64,0,reset,aligned-unrolled,3,131072,1137722,1143279,8.6801300048828125,8.7225265502929688
64,0,reset,openblas,3,131072,1593156,1598957,12.154815673828125,12.199073791503906
64,0,reset,onemkl,3,131072,2192026,2198065,16.723831176757812,16.769905090332031
64,0,reset,baseline,4,131072,1320064,1325474,10.0712890625,10.112564086914062
64,0,reset,aligned,4,131072,1128810,1134268,8.6121368408203125,8.653778076171875
64,0,reset,unrolled,4,131072,1114279,1119839,8.5012741088867188,8.5436935424804688
64,0,reset,aligned-unrolled,4,131072,1113616,1119129,8.4962158203125,8.5382766723632812
64,0,reset,openblas,4,131072,1557442,1563109,11.882339477539062,11.925575256347656
64,0,reset,onemkl,4,131072,2174292,2180014,16.588531494140625,16.632186889648438
64,0,reset,baseline,5,131072,1344341,1350118,10.256507873535156,10.300582885742188
64,0,reset,aligned,5,131072,1149131,1154716,8.7671737670898438,8.809783935546875
64,0,reset,unrolled,5,131072,1113351,1118812,8.4941940307617188,8.535858154296875
64,0,reset,aligned-unrolled,5,131072,1111429,1117048,8.4795303344726562,8.52239990234375
64,0,reset,openblas,5,131072,1547174,1552763,11.804000854492188,11.846641540527344
64,0,reset,onemkl,5,131072,2173596,2179530,16.583221435546875,16.628494262695312
64,0,reset,baseline,6,131072,1303166,1308870,9.9423675537109375,9.9858856201171875
64,0,reset,aligned,6,131072,1124386,1129817,8.5783843994140625,8.6198196411132812
64,0,reset,unrolled,6,131072,1092145,1097721,8.3324050903320312,8.3749465942382812
64,0,reset,aligned-unrolled,6,131072,1096036,1101386,8.362091064453125,8.4029083251953125
64,0,reset,openblas,6,131072,1521917,1527502,11.611305236816406,11.653915405273438
