n,offset_bytes,mode,implementation,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
96,8,reset,baseline,1,87360,2109522,2114617,24.147458791208791,24.205780677655678
96,8,reset,aligned,1,87360,1639769,1644828,18.770249542124542,18.82815934065934
96,8,reset,unrolled,1,87360,2147351,2152321,24.58048305860806,24.637374084249085
96,8,reset,aligned-unrolled,1,87360,1635902,1641154,18.725984432234434,18.78610347985348
96,8,reset,openblas,1,87360,2279915,2284715,26.097928113553113,26.152873168498168
96,8,reset,onemkl,1,87360,1982049,1987211,22.688289835164834,22.747378663003662
96,8,reset,baseline,2,87360,2092193,2097059,23.949095695970694,24.004796245421247
96,8,reset,aligned,2,87360,1624677,1629491,18.597493131868131,18.652598443223443
96,8,reset,unrolled,2,87360,2119984,2124888,24.267216117216119,24.323351648351647
96,8,reset,aligned-unrolled,2,87360,1626674,1631391,18.620352564102564,18.674347527472527
96,8,reset,openblas,2,87360,2257954,2262799,25.846543040293039,25.902003205128207
96,8,reset,onemkl,2,87360,1969040,1973916,22.539377289377288,22.595192307692308
96,8,reset,baseline,3,87360,2117917,2122787,24.243555402930404,24.29930173992674
96,8,reset,aligned,3,87360,1653646,1658539,18.929097985347987,18.985107600732601
96,8,reset,unrolled,3,87360,2150355,2155506,24.614869505494507,24.673832417582418
96,8,reset,aligned-unrolled,3,87360,1648596,1653376,18.871291208791209,18.926007326007326
96,8,reset,openblas,3,87360,2289838,2295008,26.211515567765566,26.270695970695972
96,8,reset,onemkl,3,87360,1983683,1989136,22.706994047619048,22.769413919413921
96,8,reset,baseline,4,87360,2158550,2163574,24.708676739926741,24.766185897435896
96,8,reset,aligned,4,87360,1676573,1681685,19.191540750915753,19.250057234432234
96,8,reset,unrolled,4,87360,2194742,2199901,25.122962454212455,25.182016941391943
96,8,reset,aligned-unrolled,4,87360,1680651,1685558,19.238221153846155,19.294391025641026
96,8,reset,openblas,4,87360,2330309,2335500,26.674782509157509,26.734203296703296
96,8,reset,onemkl,4,87360,2016876,2022137,23.086950549450549,23.14717261904762
96,8,reset,baseline,5,87360,2120027,2125027,24.267708333333335,24.324942765567766
96,8,reset,aligned,5,87360,1648889,1653701,18.874645146520148,18.929727564102564
96,8,reset,unrolled,5,87360,2150135,2155047,24.61235119047619,24.668578296703295
96,8,reset,aligned-unrolled,5,87360,1649674,1654460,18.883630952380951,18.938415750915752
96,8,reset,openblas,5,87360,2288003,2292990,26.19051053113553,26.247596153846153
96,8,reset,onemkl,5,87360,1979337,1984270,22.657245879120879,22.713713369963369
96,16,negate,baseline,1,87360,1671465,1676536,19.133070054945055,19.191117216117217
96,16,negate,aligned,1,87360,711361,716238,8.1428685897435891,8.1986950549450555
96,16,negate,unrolled,1,87360,1569922,1575074,17.970718864468864,18.029693223443225
96,16,negate,aligned-unrolled,1,87360,712350,717430,8.1541895604395602,8.2123397435897427
96,16,negate,openblas,1,87360,1378306,1383301,15.777312271062272,15.834489468864469
96,16,negate,onemkl,1,87360,1119158,1124635,12.810874542124543,12.873569139194139
96,16,negate,baseline,2,87360,1664197,1669151,19.049874084249083,19.106581959706961
96,16,negate,aligned,2,87360,695202,700028,7.9578983516483515,8.0131410256410263
96,16,negate,unrolled,2,87360,1554600,1559457,17.795329670329672,17.850927197802196
96,16,negate,aligned-unrolled,2,87360,711386,716148,8.1431547619047624,8.1976648351648347
96,16,negate,openblas,2,87360,1372967,1377854,15.716197344322344,15.772138278388278
96,16,negate,onemkl,2,87360,1104172,1109117,12.639331501831501,12.695936355311355
96,16,negate,baseline,3,87360,1650430,1655511,18.892284798534799,18.950446428571428
96,16,negate,aligned,3,87360,683816,688907,7.8275641025641027,7.8858402014652018
96,16,negate,unrolled,3,87360,1544454,1549477,17.679189560439561,17.736687271062269
96,16,negate,aligned-unrolled,3,87360,703982,708943,8.0584020146520139,8.115190018315019
96,16,negate,openblas,3,87360,1360430,1365485,15.572687728937728,15.630551739926739
96,16,negate,onemkl,3,87360,1097498,1102566,12.562934981684982,12.620947802197803
96,16,negate,baseline,4,87360,1639135,1643943,18.762992216117215,18.818028846153847
96,16,negate,aligned,4,87360,691875,696930,7.9198145604395602,7.9776785714285712
96,16,negate,unrolled,4,87360,1539219,1543957,17.619265109890112,17.673500457875459
96,16,negate,aligned-unrolled,4,87360,699090,703913,8.0024038461538467,8.0576121794871796
96,16,negate,openblas,4,87360,1353016,1357837,15.487820512820512,15.543005952380952
96,16,negate,onemkl,4,87360,1096427,1101303,12.550675366300366,12.606490384615384
96,16,negate,baseline,5,87360,1685179,1690089,19.290052655677655,19.346256868131867
96,16,negate,aligned,5,87360,694085,699072,7.9451121794871797,8.0021978021978022
96,16,negate,unrolled,5,87360,1562015,1567028,17.880208333333332,17.937591575091574
96,16,negate,aligned-unrolled,5,87360,709061,714040,8.1165407509157514,8.1735347985347993
96,16,negate,openblas,5,87360,1370574,1375492,15.688804945054946,15.745100732600733
96,16,negate,onemkl,5,87360,1108899,1114201,12.693440934065935,12.754132326007326
96,16,powers-two,baseline,1,87360,1652174,1657232,18.91224816849817,18.970146520146521
96,16,powers-two,aligned,1,87360,684419,689380,7.8344665750915752,7.8912545787545785
96,16,powers-two,unrolled,1,87360,1556830,1562019,17.820856227106226,17.880254120879123
96,16,powers-two,aligned-unrolled,1,87360,685667,690588,7.8487522893772894,7.9050824175824177
96,16,powers-two,openblas,1,87360,1375349,1381689,15.743463827838827,15.816037087912088
96,16,powers-two,onemkl,1,87360,1113319,1118439,12.744036172161172,12.80264423076923
96,16,powers-two,baseline,2,87360,1647995,1652822,18.864411630036631,18.919665750915751
96,16,powers-two,aligned,2,87360,680941,685846,7.7946543040293044,7.8508012820512825
96,16,powers-two,unrolled,2,87360,1535763,1540629,17.579704670329669,17.635405219780221
96,16,powers-two,aligned-unrolled,2,87360,682677,687539,7.8145260989010987,7.8701808608058608
96,16,powers-two,openblas,2,87360,1374181,1379028,15.730093864468865,15.785576923076922
96,16,powers-two,onemkl,2,87360,1096528,1101363,12.551831501831503,12.607177197802198
96,16,powers-two,baseline,3,87360,1652341,1663727,18.914159798534797,19.044494047619047
96,16,powers-two,aligned,3,87360,686557,691429,7.8589400183150184,7.9147092490842494
96,16,powers-two,unrolled,3,87360,1538869,1543757,17.615258699633699,17.67121108058608
