n,offset,alignment_bytes,mode,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
256,1,8,reset,4,65536,2453990,2458463,37.444915771484375,37.51316833496094
256,1,8,reset,5,65536,2506770,2510606,38.250274658203125,38.308807373046875
256,1,8,reset,6,65536,2483987,2487433,37.90263366699219,37.95521545410156
256,1,8,reset,7,65536,2522749,2526339,38.49409484863281,38.54887390136719
256,2,16,arithmetic,1,65536,1782952,1786446,27.2056884765625,27.259002685546875
256,2,16,arithmetic,2,65536,1821610,1826243,27.795562744140625,27.866256713867188
256,2,16,arithmetic,3,65536,1786249,1789988,27.255996704101563,27.31304931640625
256,2,16,arithmetic,4,65536,1803650,1807196,27.521514892578125,27.57562255859375
256,2,16,arithmetic,5,65536,1779640,1783021,27.1551513671875,27.206741333007813
256,2,16,arithmetic,6,65536,1802043,1805538,27.496994018554688,27.550323486328125
256,2,16,arithmetic,7,65536,1844685,1848041,28.147659301757813,28.198867797851563
256,2,16,reset,1,65536,2487489,2491491,37.95606994628906,38.01713562011719
256,2,16,reset,2,65536,2508633,2512306,38.27870178222656,38.334747314453125
256,2,16,reset,3,65536,2476609,2480081,37.79005432128906,37.84303283691406
256,2,16,reset,4,65536,2471950,2475446,37.718963623046875,37.772308349609375
256,2,16,reset,5,65536,2484381,2487923,37.90864562988281,37.96269226074219
256,2,16,reset,6,65536,2472407,2476047,37.72593688964844,37.78147888183594
256,2,16,reset,7,65536,2486605,2491563,37.94258117675781,38.01823425292969
256,3,24,arithmetic,1,65536,1781669,1785234,27.186111450195313,27.240509033203125
256,3,24,arithmetic,2,65536,1889893,1893507,28.837478637695313,28.892623901367188
256,3,24,arithmetic,3,65536,1737870,1741428,26.517791748046875,26.57208251953125
256,3,24,arithmetic,4,65536,1737190,1740719,26.507415771484375,26.561264038085938
256,3,24,arithmetic,5,65536,1737946,1741658,26.518951416015625,26.575592041015625
256,3,24,arithmetic,6,65536,1772946,1780291,27.053009033203125,27.165084838867188
256,3,24,arithmetic,7,65536,1750686,1754737,26.713348388671875,26.775161743164063
256,3,24,reset,1,65536,2486252,2489896,37.93719482421875,37.9927978515625
256,3,24,reset,2,65536,2472680,2476530,37.7301025390625,37.788848876953125
256,3,24,reset,3,65536,2489614,2494480,37.988494873046875,38.062744140625
256,3,24,reset,4,65536,2487131,2490912,37.95060729980469,38.00830078125
256,3,24,reset,5,65536,2488456,2492231,37.9708251953125,38.02842712402344
256,3,24,reset,6,65536,2474096,2477779,37.751708984375,37.80790710449219
256,3,24,reset,7,65536,2508760,2512452,38.2806396484375,38.33697509765625
4096,0,0,arithmetic,1,4096,727195,730868,177.537841796875,178.4345703125
4096,0,0,arithmetic,2,4096,726618,730399,177.39697265625,178.320068359375
4096,0,0,arithmetic,3,4096,767550,771233,187.39013671875,188.289306640625
4096,0,0,arithmetic,4,4096,755671,759378,184.489990234375,185.39501953125
4096,0,0,arithmetic,5,4096,753204,758142,183.8876953125,185.09326171875
4096,0,0,arithmetic,6,4096,721621,725373,176.177001953125,177.093017578125
4096,0,0,arithmetic,7,4096,727507,731168,177.614013671875,178.5078125
4096,0,0,reset,1,4096,2771274,2774612,676.58056640625,677.3955078125
4096,0,0,reset,2,4096,2701826,2705191,659.62548828125,660.447021484375
4096,0,0,reset,3,4096,2663558,2668111,650.28271484375,651.394287109375
4096,0,0,reset,4,4096,2637351,2640605,643.884521484375,644.678955078125
4096,0,0,reset,5,4096,2628265,2631415,641.666259765625,642.435302734375
4096,0,0,reset,6,4096,2611622,2614693,637.60302734375,638.352783203125
4096,0,0,reset,7,4096,2685159,2688335,655.556396484375,656.331787109375
4096,1,8,arithmetic,1,4096,640146,643409,156.28564453125,157.082275390625
4096,1,8,arithmetic,2,4096,693308,696864,169.2646484375,170.1328125
4096,1,8,arithmetic,3,4096,714481,718976,174.433837890625,175.53125
4096,1,8,arithmetic,4,4096,819604,824286,200.0986328125,201.24169921875
4096,1,8,arithmetic,5,4096,770038,774078,187.99755859375,188.98388671875
4096,1,8,arithmetic,6,4096,705891,709501,172.336669921875,173.218017578125
4096,1,8,arithmetic,7,4096,703190,706803,171.67724609375,172.559326171875
4096,1,8,reset,1,4096,3048657,3052053,744.301025390625,745.130126953125
4096,1,8,reset,2,4096,2990039,2994564,729.989990234375,731.0947265625
4096,1,8,reset,3,4096,2963802,2967125,723.58447265625,724.395751953125
4096,1,8,reset,4,4096,2913699,2916990,711.352294921875,712.15576171875
4096,1,8,reset,5,4096,2926165,2929390,714.395751953125,715.18310546875
4096,1,8,reset,6,4096,2927616,2930966,714.75,715.56787109375
4096,1,8,reset,7,4096,2916953,2920720,712.146728515625,713.06640625
4096,2,16,arithmetic,1,4096,636617,639566,155.424072265625,156.14404296875
4096,2,16,arithmetic,2,4096,675473,678657,164.910400390625,165.687744140625
4096,2,16,arithmetic,3,4096,719775,723103,175.726318359375,176.538818359375
4096,2,16,arithmetic,4,4096,741306,744773,180.98291015625,181.829345703125
4096,2,16,arithmetic,5,4096,757566,761157,184.95263671875,185.829345703125
4096,2,16,arithmetic,6,4096,730999,734407,178.466552734375,179.298583984375
4096,2,16,arithmetic,7,4096,759361,762687,185.390869140625,186.202880859375
4096,2,16,reset,1,4096,3046623,3049980,743.804443359375,744.6240234375
4096,2,16,reset,2,4096,2975606,2979227,726.46630859375,727.350341796875
4096,2,16,reset,3,4096,2979766,2983160,727.48193359375,728.310546875
4096,2,16,reset,4,4096,2944726,2948061,718.92724609375,719.741455078125
4096,2,16,reset,5,4096,2965111,2968707,723.904052734375,724.781982421875
4096,2,16,reset,6,4096,2936051,2940745,716.809326171875,717.955322265625
4096,2,16,reset,7,4096,2881821,2885087,703.569580078125,704.366943359375
4096,3,24,arithmetic,1,4096,613612,616473,149.8076171875,150.506103515625
4096,3,24,arithmetic,2,4096,675143,678224,164.829833984375,165.58203125
4096,3,24,arithmetic,3,4096,744510,748795,181.76513671875,182.811279296875
4096,3,24,arithmetic,4,4096,737215,740506,179.984130859375,180.78759765625
4096,3,24,arithmetic,5,4096,801272,804528,195.623046875,196.41796875
4096,3,24,arithmetic,6,4096,683733,686980,166.927001953125,167.7197265625
4096,3,24,arithmetic,7,4096,719011,722421,175.539794921875,176.372314453125
4096,3,24,reset,1,4096,3046070,3049394,743.66943359375,744.48095703125
4096,3,24,reset,2,4096,3104994,3108416,758.05517578125,758.890625
4096,3,24,reset,3,4096,3002815,3006146,733.109130859375,733.92236328125
4096,3,24,reset,4,4096,2940399,2943987,717.870849609375,718.746826171875
4096,3,24,reset,5,4096,2926425,2930946,714.459228515625,715.56298828125
4096,3,24,reset,6,4096,2923189,2927149,713.669189453125,714.635986328125
4096,3,24,reset,7,4096,2916335,2919588,711.995849609375,712.7900390625
65536,0,0,arithmetic,1,256,1815797,1819428,7092.95703125,7107.140625
65536,0,0,arithmetic,2,256,1879696,1884637,7342.5625,7361.86328125
65536,0,0,arithmetic,3,256,1834462,1838171,7165.8671875,7180.35546875
65536,0,0,arithmetic,4,256,1816645,1820237,7096.26953125,7110.30078125
65536,0,0,arithmetic,5,256,1786634,1790065,6979.0390625,6992.44140625
65536,0,0,arithmetic,6,256,1787135,1790817,6980.99609375,6995.37890625
