n,offset,alignment_bytes,mode,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
65536,0,0,reset,5,256,4101512,4105393,16021.53125,16036.69140625
65536,0,0,reset,6,256,4150635,4154555,16213.41796875,16228.73046875
65536,0,0,reset,7,256,4285678,4290303,16740.9296875,16758.99609375
65536,1,8,arithmetic,1,256,1725972,1729396,6742.078125,6755.453125
65536,1,8,arithmetic,2,256,1788649,1792137,6986.91015625,7000.53515625
65536,1,8,arithmetic,3,256,1788417,1791938,6986.00390625,6999.7578125
65536,1,8,arithmetic,4,256,1797235,1801052,7020.44921875,7035.359375
65536,1,8,arithmetic,5,256,1768357,1771789,6907.64453125,6921.05078125
65536,1,8,arithmetic,6,256,1842353,1847097,7196.69140625,7215.22265625
65536,1,8,arithmetic,7,256,1791310,1795512,6997.3046875,7013.71875
65536,1,8,reset,1,256,4476293,4481306,17485.51953125,17505.1015625
65536,1,8,reset,2,256,4366302,4370349,17055.8671875,17071.67578125
65536,1,8,reset,3,256,4403390,4407285,17200.7421875,17215.95703125
65536,1,8,reset,4,256,4594567,4599214,17947.52734375,17965.6796875
65536,1,8,reset,5,256,4425250,4430538,17286.1328125,17306.7890625
65536,1,8,reset,6,256,4360400,4364263,17032.8125,17047.90234375
65536,1,8,reset,7,256,4347634,4351623,16982.9453125,16998.52734375
65536,2,16,arithmetic,1,256,1806352,1813875,7056.0625,7085.44921875
65536,2,16,arithmetic,2,256,1786467,1790060,6978.38671875,6992.421875
65536,2,16,arithmetic,3,256,1796706,1800270,7018.3828125,7032.3046875
65536,2,16,arithmetic,4,256,1910191,1913646,7461.68359375,7475.1796875
65536,2,16,arithmetic,5,256,1785618,1789080,6975.0703125,6988.59375
65536,2,16,arithmetic,6,256,1795466,1799103,7013.5390625,7027.74609375
65536,2,16,arithmetic,7,256,1825685,1829388,7131.58203125,7146.046875
65536,2,16,reset,1,256,4492085,4496247,17547.20703125,17563.46484375
65536,2,16,reset,2,256,4450293,4454820,17383.95703125,17401.640625
65536,2,16,reset,3,256,4365933,4369955,17054.42578125,17070.13671875
65536,2,16,reset,4,256,4372770,4376760,17081.1328125,17096.71875
65536,2,16,reset,5,256,4462308,4466970,17430.890625,17449.1015625
65536,2,16,reset,6,256,4388328,4392332,17141.90625,17157.546875
65536,2,16,reset,7,256,4341205,4345100,16957.83203125,16973.046875
65536,3,24,arithmetic,1,256,1787879,1791849,6983.90234375,6999.41015625
65536,3,24,arithmetic,2,256,1799518,1803997,7029.3671875,7046.86328125
65536,3,24,arithmetic,3,256,1764830,1768334,6893.8671875,6907.5546875
65536,3,24,arithmetic,4,256,1797542,1801079,7021.6484375,7035.46484375
65536,3,24,arithmetic,5,256,1784119,1787674,6969.21484375,6983.1015625
65536,3,24,arithmetic,6,256,1840627,1844353,7189.94921875,7204.50390625
65536,3,24,arithmetic,7,256,1843271,1846890,7200.27734375,7214.4140625
65536,3,24,reset,1,256,4414237,4418249,17243.11328125,17258.78515625
65536,3,24,reset,2,256,4422716,4427480,17276.234375,17294.84375
65536,3,24,reset,3,256,4396062,4406908,17172.1171875,17214.484375
65536,3,24,reset,4,256,4330072,4334002,16914.34375,16929.6953125
65536,3,24,reset,5,256,4334413,4338420,16931.30078125,16946.953125
65536,3,24,reset,6,256,4438572,4442933,17338.171875,17355.20703125
65536,3,24,reset,7,256,4411129,4414997,17230.97265625,17246.08203125
