n,offset_bytes,mode,implementation,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
256,24,negate,onemkl,2,32768,579624,584470,17.688720703125,17.83660888671875
256,24,negate,current,3,32768,475364,480294,14.5069580078125,14.65740966796875
256,24,negate,pointers,3,32768,384733,389763,11.741119384765625,11.894622802734375
256,24,negate,pipeline,3,32768,464708,469642,14.1817626953125,14.33233642578125
256,24,negate,blocks,3,32768,475083,480028,14.498382568359375,14.6492919921875
256,24,negate,openblas-leaf,3,32768,779143,784335,23.777557373046875,23.936004638671875
256,24,negate,openblas-aligned,3,32768,442690,453307,13.50982666015625,13.833831787109375
256,24,negate,openblas,3,32768,806153,818938,24.601837158203125,24.99200439453125
256,24,negate,onemkl,3,32768,584673,589689,17.842803955078125,17.995880126953125
256,24,negate,current,4,32768,480300,485172,14.6575927734375,14.8062744140625
256,24,negate,pointers,4,32768,392470,397292,11.97723388671875,12.1243896484375
256,24,negate,pipeline,4,32768,480126,485208,14.65228271484375,14.807373046875
256,24,negate,blocks,4,32768,496892,501966,15.1639404296875,15.31878662109375
256,24,negate,openblas-leaf,4,32768,779154,784229,23.77789306640625,23.932769775390625
256,24,negate,openblas-aligned,4,32768,442713,447806,13.510528564453125,13.66595458984375
256,24,negate,openblas,4,32768,805259,810242,24.574554443359375,24.72662353515625
256,24,negate,onemkl,4,32768,582863,587910,17.787567138671875,17.94158935546875
256,24,negate,current,5,32768,476448,481353,14.5400390625,14.689727783203125
256,24,negate,pointers,5,32768,382782,387644,11.68157958984375,11.8299560546875
256,24,negate,pipeline,5,32768,462620,467504,14.1180419921875,14.26708984375
256,24,negate,blocks,5,32768,480899,485869,14.675872802734375,14.827545166015625
256,24,negate,openblas-leaf,5,32768,784680,789609,23.946533203125,24.096954345703125
256,24,negate,openblas-aligned,5,32768,434684,439603,13.2655029296875,13.415618896484375
256,24,negate,openblas,5,32768,808673,813534,24.678741455078125,24.82708740234375
256,24,negate,onemkl,5,32768,581036,585937,17.7318115234375,17.881378173828125
256,24,negate,current,6,32768,477214,482110,14.56341552734375,14.71282958984375
256,24,negate,pointers,6,32768,402385,407188,12.279815673828125,12.4263916015625
256,24,negate,pipeline,6,32768,472626,477512,14.42340087890625,14.572509765625
256,24,negate,blocks,6,32768,476669,481490,14.546783447265625,14.69390869140625
256,24,negate,openblas-leaf,6,32768,814770,819743,24.86480712890625,25.016571044921875
256,24,negate,openblas-aligned,6,32768,439603,444484,13.415618896484375,13.5645751953125
256,24,negate,openblas,6,32768,804955,809851,24.565277099609375,24.714691162109375
256,24,negate,onemkl,6,32768,581396,586271,17.7427978515625,17.891571044921875
256,24,negate,current,7,32768,476407,481535,14.538787841796875,14.695281982421875
256,24,negate,pointers,7,32768,407110,412225,12.42401123046875,12.580108642578125
