n,offset_bytes,mode,implementation,sample,operations,cpu_ns,wall_ns,cpu_ns_per_op,wall_ns_per_op
64,8,negate,openblas-leaf,3,131072,851813,859337,6.4988174438476562,6.5562210083007812
64,8,negate,openblas-aligned,3,131072,971714,976764,7.4135894775390625,7.452117919921875
64,8,negate,openblas,3,131072,1047507,1052584,7.9918441772460938,8.03057861328125
64,8,negate,onemkl,3,131072,1664690,1669709,12.700576782226562,12.738868713378906
64,8,negate,current,4,131072,795813,800929,6.0715713500976562,6.1106033325195312
64,8,negate,pointers,4,131072,797517,803055,6.0845718383789062,6.1268234252929688
64,8,negate,pipeline,4,131072,798822,804461,6.0945281982421875,6.1375503540039062
64,8,negate,openblas-leaf,4,131072,861684,867065,6.574127197265625,6.6151809692382812
64,8,negate,openblas-aligned,4,131072,888136,893409,6.77593994140625,6.8161697387695312
64,8,negate,openblas,4,131072,1055477,1060915,8.0526504516601562,8.0941390991210938
64,8,negate,onemkl,4,131072,1685686,1691193,12.860763549804688,12.902778625488281
64,8,negate,current,5,131072,790908,795995,6.034149169921875,6.0729598999023438
64,8,negate,pointers,5,131072,787087,792042,6.0049972534179688,6.0428009033203125
64,8,negate,pipeline,5,131072,791235,796343,6.0366439819335938,6.0756149291992188
64,8,negate,openblas-leaf,5,131072,854582,859632,6.5199432373046875,6.5584716796875
64,8,negate,openblas-aligned,5,131072,889749,894800,6.7882461547851562,6.8267822265625
64,8,negate,openblas,5,131072,1050024,1055047,8.01104736328125,8.0493698120117188
64,8,negate,onemkl,5,131072,1680298,1685431,12.819656372070312,12.858818054199219
64,8,negate,current,6,131072,789978,795352,6.0270538330078125,6.06805419921875
64,8,negate,pointers,6,131072,797270,802423,6.0826873779296875,6.1220016479492188
64,8,negate,pipeline,6,131072,790760,796118,6.03302001953125,6.0738983154296875
64,8,negate,openblas-leaf,6,131072,861289,866754,6.5711135864257812,6.6128082275390625
64,8,negate,openblas-aligned,6,131072,893152,898860,6.814208984375,6.857757568359375
64,8,negate,openblas,6,131072,1059213,1064676,8.0811538696289062,8.122833251953125
64,8,negate,onemkl,6,131072,1671866,1677212,12.755325317382812,12.796112060546875
64,8,negate,current,7,131072,789250,794354,6.0214996337890625,6.0604400634765625
64,8,negate,pointers,7,131072,878658,883648,6.7036285400390625,6.74169921875
64,8,negate,pipeline,7,131072,789943,795046,6.0267868041992188,6.0657196044921875
64,8,negate,openblas-leaf,7,131072,859814,864854,6.5598602294921875,6.5983123779296875
64,8,negate,openblas-aligned,7,131072,887439,892547,6.7706222534179688,6.8095932006835938
64,8,negate,openblas,7,131072,1060621,1065776,8.0918960571289062,8.1312255859375
64,8,negate,onemkl,7,131072,1677101,1682268,12.795265197753906,12.834686279296875
64,8,powers-two,current,1,131072,789212,794441,6.021209716796875,6.0611038208007812
64,8,powers-two,pointers,1,131072,787992,793049,6.01190185546875,6.0504837036132812
64,8,powers-two,pipeline,1,131072,783518,788604,5.9777679443359375,6.016571044921875
64,8,powers-two,openblas-leaf,1,131072,847223,852439,6.4637985229492188,6.5035934448242188
64,8,powers-two,openblas-aligned,1,131072,898317,903558,6.8536148071289062,6.8936004638671875
64,8,powers-two,openblas,1,131072,1045021,1050213,7.9728775024414062,8.0124893188476562
64,8,powers-two,onemkl,1,131072,1690559,1695707,12.897941589355469,12.937217712402344
64,8,powers-two,current,2,131072,788468,793700,6.015533447265625,6.055450439453125
64,8,powers-two,pointers,2,131072,801972,807573,6.118560791015625,6.1612930297851562
64,8,powers-two,pipeline,2,131072,816105,821569,6.2263870239257812,6.2680740356445312
64,8,powers-two,openblas-leaf,2,131072,852347,868924,6.5028915405273438,6.629364013671875
64,8,powers-two,openblas-aligned,2,131072,889590,895061,6.7870330810546875,6.8287734985351562
64,8,powers-two,openblas,2,131072,1065481,1070834,8.1289749145507812,8.1698150634765625
64,8,powers-two,onemkl,2,131072,1735962,1748955,13.244338989257812,13.343467712402344
64,8,powers-two,current,3,131072,791131,796366,6.0358505249023438,6.0757904052734375
64,8,powers-two,pointers,3,131072,791510,796737,6.0387420654296875,6.0786209106445312
64,8,powers-two,pipeline,3,131072,793807,799099,6.0562667846679688,6.0966415405273438
64,8,powers-two,openblas-leaf,3,131072,862103,867409,6.5773239135742188,6.6178054809570312
64,8,powers-two,openblas-aligned,3,131072,890097,895426,6.7909011840820312,6.8315582275390625
64,8,powers-two,openblas,3,131072,1057448,1062707,8.06768798828125,8.1078109741210938
64,8,powers-two,onemkl,3,131072,1707153,1712413,13.024543762207031,13.064674377441406
64,8,powers-two,current,4,131072,788054,793599,6.0123748779296875,6.0546798706054688
64,8,powers-two,pointers,4,131072,796890,802319,6.0797882080078125,6.1212081909179688
64,8,powers-two,pipeline,4,131072,789572,794915,6.023956298828125,6.0647201538085938
64,8,powers-two,openblas-leaf,4,131072,852849,858284,6.5067214965820312,6.548187255859375
64,8,powers-two,openblas-aligned,4,131072,894370,899944,6.8235015869140625,6.86602783203125
64,8,powers-two,openblas,4,131072,1058702,1064265,8.0772552490234375,8.1196975708007812
64,8,powers-two,onemkl,4,131072,1715550,1721095,13.088607788085938,13.130912780761719
