candidate,logical_id,base_case,candidate_case,base_configuration,candidate_configuration,base_kernel,candidate_kernel,base_median_ns,candidate_median_ns,candidate_min_ns,candidate_max_ns,base_over_candidate
./jvm-scalar.csv,gemm-add+64x64x63+uniform,gemm-block+64x64x63+uniform+packed=4x4+timing=prepacked-compute,gemm-block+64x64x63+uniform+packed=4x4+timing=prepacked-compute,column-major,packed=4x4,vendor-cblas,portable-tile,10438.29345703125,38565.147172757381,38358.83108108108,39120.806824754196,0.27066650129122066
./jvm-scalar.csv,gemm-add+64x64x64+uniform,gemm-block+64x64x64+uniform+packed=4x4+timing=prepacked-compute,gemm-block+64x64x64+uniform+packed=4x4+timing=prepacked-compute,column-major,packed=4x4,vendor-cblas,portable-tile,10704.864501953125,40172.795013970157,39795.898067449794,40777.49551703527,0.2664704932338039
./jvm-scalar.csv,gemm-add+64x64x65+uniform,gemm-block+64x64x65+uniform+packed=4x4+timing=prepacked-compute,gemm-block+64x64x65+uniform+packed=4x4+timing=prepacked-compute,column-major,packed=4x4,vendor-cblas,portable-tile,10820.00732421875,39815.951332575729,39326.983149222993,42723.693721602642,0.27175056634566153
./jvm-scalar.csv,gemm-add+128x128x64+uniform,gemm-block+128x128x64+uniform+packed=4x4+timing=prepacked-compute,gemm-block+128x128x64+uniform+packed=4x4+timing=prepacked-compute,column-major,packed=4x4,vendor-cblas,portable-tile,40779.1748046875,159867.12730650112,158720.44939577038,161814.45839753468,0.25508167621292577
./jvm-scalar.csv,gemm-add+128x8x64+uniform,gemm-block+128x8x64+uniform+packed=4x4+timing=prepacked-compute,gemm-block+128x8x64+uniform+packed=4x4+timing=prepacked-compute,column-major,packed=4x4,vendor-cblas,portable-tile,3341.339111328125,9781.8273417563032,9737.9244285780514,9854.2331331519181,0.34158639225461895
./jvm-c.csv,dot+4096+uniform,dot+4096+uniform,dot+4096+uniform,policy,policy,vendor-cblas,policy,605.21316528320312,371.64622627739504,368.52454112061145,375.24269327663529,1.6284657894830197
./jvm-c.csv,axpy+4096+uniform,axpy+4096+uniform,axpy+4096+uniform,policy,policy,vendor-cblas,policy,715.67726135253906,781.72655885892505,778.72514212785711,783.7387025694652,0.91550843865046982
./jvm-c.csv,axpy-arithmetic+4096+uniform,axpy-arithmetic+4096+uniform,axpy-arithmetic+4096+uniform,policy,policy,vendor-cblas,policy,721.06361389160156,780.96681870004738,778.60283696067199,783.42711608978016,0.92329609482236741
./jvm-c.csv,scal+4096+uniform,scal+4096+uniform,scal+4096+uniform,policy,policy,vendor-cblas,policy,565.08636474609375,700.1322431644528,697.92221298271124,704.74539280297438,0.80711375638410876
./jvm-c.csv,nrm2+4096+uniform,nrm2+4096+uniform,nrm2+4096+uniform,policy,policy,vendor-cblas,policy,3688.0340576171875,445.93932834373243,443.41482441713413,450.0382147838215,8.2702597039712789
