elapsed_s,cpu_percent
790.249,13.38
791.259,11.64
792.269,12.29
793.274,14.51
794.284,12.02
795.294,12.02
796.304,14.67
797.314,11.78
798.325,15.02
799.327,22.80
800.338,23.63
801.338,20.34
802.345,11.54
803.347,15.32
804.358,14.51
805.366,12.09
806.376,14.46
807.386,12.40
808.396,12.88
809.398,12.21
810.407,14.46
811.417,11.52
812.427,11.79
813.437,14.07
814.447,11.53
815.457,11.88
816.460,12.69
817.470,19.94
818.481,11.82
819.488,12.28
820.498,14.19
821.508,16.73
822.516,11.65
823.516,14.77
824.517,12.25
825.520,11.41
826.528,12.38
827.538,14.38
828.540,11.81
829.545,11.86
830.550,13.83
831.560,11.81
832.568,11.65
833.578,13.75
834.588,14.98
835.598,14.26
836.608,13.37
837.609,13.94
838.619,11.71
839.629,11.77
840.639,14.13
841.643,12.04
842.653,11.87
843.654,11.82
844.661,13.73
845.671,11.97
846.679,11.47
847.689,13.92
848.695,11.90
849.701,11.89
850.704,13.42
851.714,12.94
852.725,11.99
853.735,11.96
854.745,14.20
855.747,11.79
856.757,12.07
857.767,13.88
858.777,11.89
859.784,11.79
860.794,12.54
861.803,13.19
862.813,11.73
863.819,12.71
864.820,14.24
865.822,11.70
866.830,11.55
867.838,13.69
868.847,12.93
869.847,11.77
870.857,12.20
871.867,13.95
872.875,12.30
873.875,12.06
874.885,14.95
875.896,11.98
876.906,12.03
877.916,13.93
878.919,13.14
879.930,12.39
880.932,12.36
881.939,14.98
882.943,13.57
883.949,12.05
884.959,16.87
885.961,31.43
886.965,14.77
887.976,12.19
888.986,12.54
889.996,14.51
891.007,11.89
892.011,12.38
893.015,13.53
894.026,14.07
895.036,14.71
896.046,14.48
897.055,14.09
898.066,12.56
899.075,12.12
900.085,14.20
901.086,12.04
902.096,12.25
903.106,13.59
904.112,12.75
905.114,12.28
906.124,12.14
907.134,14.16
908.144,12.10
909.154,12.36
910.165,14.03
911.175,12.14
912.177,12.25
913.188,12.50
914.198,13.92
915.207,12.48
916.217,12.12
917.227,28.29
918.238,12.38
919.248,12.31
920.248,13.35
921.258,13.16
922.269,12.10
923.279,12.46
924.289,16.17
925.291,12.09
926.301,12.24
927.311,14.26
928.317,13.33
929.328,12.59
930.338,14.26
931.348,13.48
932.353,12.26
933.356,12.01
934.361,13.82
935.371,12.30
936.381,12.27
937.392,13.79
938.402,12.56
939.412,11.92
940.423,12.10
941.433,13.95
942.443,12.33
943.453,12.46
944.460,14.20
945.467,12.26
946.471,12.15
947.472,16.68
948.482,13.12
949.486,11.98
950.496,11.98
951.506,13.75
952.507,12.18
953.517,12.81
954.527,16.02
955.537,13.22
956.547,12.46
957.557,12.57
958.565,13.33
959.576,11.92
960.586,12.09
961.596,14.31
962.600,11.80
963.604,12.06
964.614,13.18
965.624,12.70
966.634,11.94
967.644,12.14
968.650,14.17
969.657,12.36
970.667,12.57
971.677,14.19
972.687,12.51
973.697,12.24
974.707,13.55
975.717,13.22
976.720,12.35
977.721,12.32
978.731,14.23
979.741,12.46
980.751,12.20
981.754,14.54
982.758,12.33
983.768,12.85
984.778,11.99
985.789,14.34
986.799,11.73
987.807,12.41
988.814,14.10
989.824,12.50
990.834,12.25
991.845,13.12
992.855,13.11
993.862,11.93
994.871,12.20
995.881,14.37
996.890,12.77
997.900,12.21
998.910,14.57
999.920,12.35
1000.930,13.66
1001.940,18.20
1002.943,14.17
1003.953,12.05
1004.962,13.55
1005.972,14.40
1006.982,12.30
1007.992,12.55
1009.002,13.83
1010.012,13.03
1011.022,12.50
1012.033,12.14
1013.043,14.14
1014.053,14.84
1015.063,14.10
1016.074,15.35
1017.084,12.61
1018.090,12.60
1019.097,13.26
1020.108,13.38
1021.118,12.57
1022.120,12.38
1023.127,14.17
1024.138,12.38
1025.143,12.34
1026.147,14.43
1027.157,12.43
1028.168,12.57
1029.178,12.41
1030.182,14.31
1031.192,12.19
1032.202,11.73
1033.212,14.17
1034.222,12.20
1035.232,12.28
1036.237,13.16
1037.247,13.28
