elapsed_s,cpu_percent
840.417,8.79
841.417,6.77
842.418,6.97
843.418,8.94
844.418,6.94
845.419,7.47
846.419,8.32
847.419,7.53
848.420,7.17
849.420,6.92
850.421,8.93
851.421,6.98
852.421,7.14
853.422,9.38
854.422,7.80
855.423,8.12
856.423,9.80
857.424,7.38
858.424,6.87
859.424,10.67
860.425,18.42
861.426,12.64
862.426,7.78
863.427,7.01
864.427,8.99
865.428,7.16
866.428,6.66
867.429,9.94
868.429,6.97
869.430,6.92
870.430,8.36
871.430,7.54
872.431,7.07
873.431,6.77
874.432,8.68
875.432,6.73
876.433,6.97
877.433,8.79
878.434,6.77
879.435,6.88
880.435,8.65
881.435,6.75
882.436,6.85
883.436,8.86
884.437,6.95
885.437,6.84
886.437,8.11
887.438,7.78
888.438,6.77
889.439,7.37
890.439,9.44
891.439,6.77
892.440,7.21
893.440,8.93
894.441,6.72
895.441,7.18
896.441,9.05
897.442,6.97
898.442,6.86
899.443,8.66
900.443,6.87
901.444,6.97
902.444,7.67
903.445,7.97
904.445,6.82
905.446,6.95
906.446,8.25
907.447,7.01
908.447,6.98
909.447,9.04
910.448,6.92
911.448,7.03
912.449,8.88
913.449,7.93
914.450,7.52
915.450,8.48
916.450,8.89
917.451,7.77
918.451,7.42
919.452,8.23
920.452,6.77
921.453,6.62
922.453,9.09
923.453,6.77
924.454,6.97
925.454,8.59
926.454,6.82
927.455,7.52
928.455,9.02
929.456,6.93
930.456,6.96
931.457,8.35
932.457,7.47
933.457,6.85
934.458,7.10
935.458,8.28
936.459,6.71
937.459,6.76
938.459,8.83
939.460,7.23
940.460,6.90
941.461,8.53
942.461,7.42
943.461,7.36
944.462,8.78
945.462,7.12
946.463,6.70
947.463,7.56
948.464,8.08
949.464,6.97
950.464,6.81
951.465,9.54
952.465,7.16
953.466,7.05
954.466,8.73
955.466,6.96
956.467,6.86
957.467,9.02
958.468,6.81
959.468,6.91
960.469,8.88
961.469,6.96
962.470,6.72
963.470,8.24
964.470,8.78
965.471,6.92
966.471,7.41
967.471,9.49
968.472,7.27
969.472,7.27
970.473,9.23
971.473,7.22
972.473,7.01
973.474,9.52
974.474,7.08
975.475,7.58
976.475,9.65
977.475,8.43
978.476,7.47
979.476,7.05
980.477,9.14
981.477,6.77
982.477,7.22
983.478,9.18
984.478,6.77
985.479,6.86
986.479,9.22
987.479,7.92
988.480,6.87
989.480,9.09
990.481,6.86
991.481,6.81
992.482,7.81
993.482,8.17
994.483,6.92
995.483,6.76
996.484,8.99
997.484,6.71
998.485,6.79
999.485,8.84
1000.486,6.86
1001.486,6.70
1002.487,9.14
1003.487,7.02
1004.488,6.86
1005.488,9.00
1006.489,6.92
1007.489,6.97
1008.490,7.68
1009.490,7.87
1010.490,6.72
1011.491,6.60
1012.491,9.19
1013.492,6.82
1014.492,7.02
1015.492,8.83
1016.493,7.06
1017.493,7.00
1018.494,9.33
1019.494,6.82
1020.494,7.01
1021.495,9.30
1022.495,7.72
1023.496,6.81
1024.496,6.95
1025.497,10.49
1026.497,7.27
1027.497,7.12
1028.498,9.75
1029.498,7.32
1030.499,7.96
1031.499,9.69
1032.499,7.23
1033.500,7.31
1034.500,9.66
1035.500,7.83
1036.501,7.81
1037.501,10.29
1038.502,9.04
1039.502,7.02
1040.502,6.92
1041.503,10.20
1042.503,8.49
1043.504,6.96
1044.504,15.68
1045.505,7.46
1046.505,6.76
1047.505,9.72
1048.506,8.13
1049.506,7.10
1050.506,8.71
1051.507,7.08
1052.507,6.47
1053.508,7.88
1054.508,7.47
1055.508,6.61
1056.509,6.45
1057.509,8.22
1058.510,6.52
1059.510,6.56
1060.510,9.25
1061.511,6.41
1062.511,6.60
1063.512,9.56
1064.512,6.82
1065.513,6.62
1066.513,8.97
1067.514,7.51
1068.514,6.52
1069.515,6.94
1070.515,10.51
1071.515,6.76
1072.516,7.27
1073.516,8.29
1074.517,6.61
1075.517,6.90
1076.518,8.36
1077.518,6.77
1078.519,7.38
1079.519,8.74
1080.519,6.90
1081.520,6.66
1082.520,8.31
1083.520,6.76
1084.521,6.61
1085.521,7.06
1086.522,8.61
1087.522,6.96
1088.522,6.79
1089.523,8.63
1090.523,7.11
1091.524,6.71
1092.524,8.68
1093.524,7.11
1094.525,6.86
1095.525,8.82
1096.526,7.12
1097.526,7.43
1098.527,9.34
1099.527,7.84
1100.527,7.71
1101.528,6.70
1102.528,9.33
1103.528,7.06
1104.529,7.12
1105.529,9.04
1106.530,6.67
1107.530,7.25
1108.530,8.82
1109.531,6.56
1110.531,6.87
1111.532,8.48
1112.532,6.76
1113.533,6.36
1114.533,7.57
1115.533,7.98
1116.534,6.65
1117.534,6.62
1118.535,8.26
1119.535,6.39
1120.536,6.45
1121.536,8.24
1122.536,6.62
1123.537,6.71
1124.537,8.43
1125.537,6.50
1126.538,6.44
1127.538,8.22
1128.539,7.01
1129.539,13.77
1130.540,64.63
1131.540,46.05
1132.541,15.62
1133.541,13.80
1134.542,15.97
1135.542,14.17
1136.543,12.81
1137.543,15.72
1138.543,12.21
1139.544,12.07
1140.545,13.00
1141.545,6.87
1142.546,10.03
1143.546,6.70
1144.546,7.99
1145.547,6.81
1146.547,9.98
1147.548,9.04
1148.548,6.76
1149.549,6.71
1150.549,8.37
1151.550,6.81
1152.550,7.70
1153.551,8.61
1154.551,10.54
1155.552,6.65
1156.552,8.08
1157.553,7.52
1158.553,8.06
1159.554,7.14
1160.554,8.37
1161.555,6.61
1162.555,6.96
1163.556,8.47
1164.556,6.72
1165.557,6.69
1166.557,8.51
1167.558,7.68
1168.558,6.61
1169.559,14.65
1170.559,18.73
1171.560,17.03
1172.560,13.61
1173.561,14.38
1174.561,13.87
1175.562,13.57
1176.562,14.19
1177.563,12.96
1178.563,11.83
1179.564,15.25
1180.564,14.44
1181.565,12.08
1182.565,15.33
1183.566,12.57
1184.566,13.49
1185.566,13.45
1186.567,12.88
1187.567,12.80
1188.568,17.23
1189.568,22.61
1190.569,40.17
1191.569,23.55
1192.570,16.56
1193.570,13.77
1194.571,13.67
1195.571,27.93
1196.572,12.08
1197.572,12.54
1198.573,14.47
1199.573,12.99
1200.574,13.58
1201.574,11.76
1202.575,13.88
1203.575,13.07
1204.575,13.24
1205.576,14.26
1206.576,12.29
1207.577,12.25
1208.577,47.43
1209.578,35.85
1210.578,23.11
1211.579,28.05
1212.579,20.07
1213.580,19.33
1214.580,10.89
1215.581,8.17
1216.581,7.16
1217.582,6.92
1218.582,8.63
1219.583,7.56
1220.583,7.20
1221.584,8.20
1222.584,7.15
1223.585,6.51
1224.585,6.82
1225.586,8.00
1226.586,6.50
1227.587,8.15
1228.587,8.26
1229.588,6.61
1230.588,6.40
1231.589,8.18
1232.589,6.93
1233.590,6.70
1234.590,8.06
1235.591,6.70
1236.591,6.97
1237.592,9.09
1238.592,6.46
1239.593,7.06
1240.593,6.39
1241.594,8.37
1242.594,6.80
1243.595,6.71
1244.595,8.22
1245.596,6.55
1246.596,6.45
1247.596,9.02
1248.597,6.36
1249.597,6.86
1250.597,8.39
1251.598,6.66
1252.598,6.90
1253.599,7.91
1254.599,8.17
1255.599,7.33
1256.600,6.51
1257.600,9.48
1258.600,6.59
1259.601,7.10
1260.601,9.69
1261.601,7.01
1262.602,6.66
1263.602,9.03
1264.603,6.31
1265.603,6.52
1266.603,8.17
1267.604,9.35
1268.604,6.52
1269.604,6.71
1270.605,10.85
1271.605,6.90
1272.606,6.54
1273.606,8.86
1274.607,8.73
1275.607,6.41
1276.607,8.12
1277.608,7.27
1278.608,6.60
1279.609,7.80
1280.609,8.93
1281.609,7.21
1282.610,6.66
1283.610,8.08
1284.610,6.46
1285.611,6.29
1286.611,8.41
1287.612,7.56
1288.612,6.51
1289.612,8.43
1290.613,6.47
1291.613,6.64
1292.613,9.46
1293.614,6.91
1294.614,6.22
1295.615,6.40
1296.615,8.88
1297.616,6.66
1298.616,6.55
1299.616,8.98
1300.617,7.07
1301.617,6.31
1302.618,8.63
1303.618,6.93
1304.618,6.61
1305.619,9.31
1306.619,7.23
1307.619,6.50
1308.620,6.37
1309.620,10.78
1310.629,6.42
1311.630,7.05
1312.630,8.40
1313.630,6.61
1314.631,6.33
1315.631,8.65
1316.631,6.67
1317.632,6.76
1318.632,7.78
1319.633,7.21
1320.633,6.60
1321.633,6.46
1322.634,8.79
1323.634,6.81
1324.635,6.49
1325.635,8.08
1326.635,6.36
1327.636,6.51
1328.636,8.43
1329.636,6.66
1330.637,6.59
1331.637,9.56
1332.638,7.72
1333.638,6.71
1334.639,6.86
1335.639,10.89
1336.639,6.37
1337.640,7.10
